サロン名,〒,都道府県,市,詳細住所,tel,サロンHP,黒髪OPIキャンペーン購入
Blossom志木南口店,352-0001,埼玉県,新座市,東北2-31-25八栄ビル2F,048-486-0291,http://www.hairmake-blossom.com/,
LUCIDO STYLE Ruttu(ルシードスタイルルッツ),352-0001,埼玉県,新座市,東北2-30-13 志木駅前ハイツ2F,048-476-8566,www.ruttu.com,
Ruttu KaoLa(ルッツカオラ),352-0001,埼玉県,新座市,東北2−39−8,048-424-7928,http://www.ruttu.com,
hair an floren 志木(ヘアーアンフローレンシキ),352-0001,埼玉県,新座市,東北2−34−20,048-424-8511,http://www.ruttu.com,
志木南口Ash,352-0001,埼玉県,新座市,東北2-34-2 ルネグランステージ志木Ⅱ 1F,048-474-5008,https://ash-hair.com/,
Blossom志木東口店,353-0004,埼玉県,志木市,本町5-21-21ウエストウッドビル4F,048-470-7377,http://www.hairmake-blossom.com/,
BLミズホ台店,354-0015,埼玉県,富士見市,東ミズホ台1-4-1サニークレストミズホ台2F(202号),049-268-3939,http://www.hairmake-blossom.com/,
PRISM hair design ミズホ台店,354-0018,埼玉県,富士見市,西ミズホ台2-12-1エクレシア101,049-293-8895,http://www.prismhair.net/,
BL鶴瀬店,354-0021,埼玉県,富士見市,鶴馬3469-2アイリス鶴馬Ⅱ 1F,049-268-3051,http://www.hairmake-blossom.com/,
ミカエリ美人フラッシュ,355-0028,埼玉県,東松山市,箭弓長1-4-15,0493-22-0788,http://www.mikaeribijin.com,
ミカエリ美人ピオニー,355-0048,埼玉県,東松山市,アズマ町1-13-7,0493-35-3000,http://www.mikaeribijin.com,
BL高坂店,355-0063,埼玉県,東松山市,元宿1-14-11F,0493-35-3501,http://www.hairmake-blossom.com/,
Chou Chou,355-0063,埼玉県,東松山市,元宿2-22-4,0493-59-9357,http://freshsalad.net/salon/chouchou/,
ミカエリ美人ルービック,355-0215,埼玉県,比企郡嵐山町,平沢211-1,0493-62-2418,http://www.mikaeribijin.com,
ミカエリ美人イマージュ,355-0328,埼玉県,比企郡小川町,大塚1148-1,0493-72-7666,http://www.mikaeribijin.com,
Blossom上福岡店,356-0004,埼玉県,ふじみ野市,上福岡1-2-4木村ビル1F,049-278-2772,http://www.hairmake-blossom.com/,
CHROM(クロム),358-0002,埼玉県,入間市,東町6-2-23 Via SoleI 1F,04-2960-2038,www.chrom-hs.com,
フェリーチェ入間,358-0013,埼玉県,入間市上藤沢462-1 イオン入間SC2F,,042-901-4557,https://the-kid.co.jp,
LUCOLU Tailors of Hair,359-0037,埼玉県,所沢市,クスノキ台1-2-1 エーワンビル1F,04-2946-7807,,
LUCOLU Tailors of Hair 所沢,359-0037,埼玉県,所沢市,くすのき台１-２-１　エーワンビル１Ｆ,04-2946-7807 ,https://beauty.hotpepper.jp/slnH000333043/,
Hair Labo haru,359-0044,埼玉県,所沢市,松葉町17−1 鈴木ビル1F,04-2998-2810,http://www.haru.in/,無
ZELE 新所沢,359-1111,埼玉県,所沢市,緑町2−7−20 F･グランデ1F,0120-05-4774,http://junon-net.co.jp/,
LUCOLU Tailors of beauty 新所沢,359-1111,埼玉県,所沢市,緑町１-20-1 新所沢ミナミプラザビル２F,04-2946-9127 ,https://beauty.hotpepper.jp/slnH000421140/,
Oasis 所沢店,359-1123,埼玉県,所沢市,日吉町28-2 美妻ビル2F,042-941-4458,https://beauty.hotpepper.jp/bsln00191/svcSA/,
agir hair 所沢,359-1123,埼玉県,所沢市,日吉町9-18 所沢博多屋ビル4F,0429-68-9553,https://www.agir-hair.com/tokorozawa/,
agir hair 所沢プロペ通り店,359-1123,埼玉県,所沢市,日吉町9-18博多屋ビル4F,0429-68-9553,https://www.prize-hair.com/,
Ami-hair annex(アミィヘアーアネックス),360-0013,埼玉県,熊谷市,中西3−14−8,048-501-8787,http://www.moon-crane.com,
hair HIRO 中西店,360-0013,埼玉県,熊谷市,中西 3-6-3 HIRO 2000ビル,048-529-1717,htp://www.hairhiro.com/,
D door (ディードア—),360-0014,埼玉県,熊谷市,箱田5-18-3,048-524-1617,www.moon-crane.com,
Ice Candy,360-0032,埼玉県,熊谷市,銀座2-33 クレセントビル1F,048-521-9767,https://beauty.hotpepper.jp/slnH000169746/,無
ZELE,360-0032,埼玉県,熊谷市,銀座3-50-1,048-577-7351,http://www.yamagiwa-group.com/,
Hoshikawa美容室 本店,360-0043,埼玉県,熊谷市,星川1-28,048-521-0685,https://beauty.hotpepper.jp/slnH000415706/,無
Blossom熊谷店,360-0045,埼玉県,熊谷市,宮前町2-123宮前ビル1F,048-501-0288,http://www.hairmake-blossom.com/,
美容室Hoshikawa 八木橋店,360-0047,埼玉県,熊谷市,仲町74 八木橋デパート3F,048-526-4455 内線/2374,https://beauty.hotpepper.jp/slnH000427631/,無
musee style(ミューゼ スタイル),360-0803,埼玉県,熊谷市,柿沼617−1,048-522-8555,http://www.hair-musee.com,無
Ami-hair(アミィヘアー),360-0803,埼玉県,熊谷市,柿沼633−1,048-580-7071,http://www.moon-crane.com,
Hair FIRST上尾店(ヘアーファーストアゲオテン),362-0014,埼玉県,上尾市,本町2-13-8,048-779-5168,www.hair-first.jp,無
北上尾Ash,362-0015,埼玉県,上尾市,緑丘3-3-11-2 P･A･P･A上尾ショッピングアヴェニュープリンセス棟1F,048-776-6688,https://ash-hair.com/,
Blossom北上尾店,362-0016,埼玉県,上尾市,原新町19-4エステート北上尾1F(102),048-778-0665,http://www.hairmake-blossom.com/,
Kkaaai powered by Ari･gate,362-0035,埼玉県,上尾市,仲町1-7-26 Kousei bldg2F,048-772-8777,http://kkaaai.com,
アイラ,362-0036,埼玉県,上尾市,宮本町3-1若松屋ビル2階,048-788-3818,https://job.orawall.com/offers/detail/582,
Blossom上尾店,362-0042,埼玉県,上尾市,谷津2-1-50-25上尾モンシェリー1F,048-778-5850,http://www.hairmake-blossom.com/,
Oasis 上尾店,362-0042,埼玉県,上尾市,谷津2-1-50-39 モリクマ13ビル3F,048-779-0120,https://beauty.hotpepper.jp/bsln00167/svcSA/,
Hair FIRST鴻巣店(ヘアーファーストコウノステン),365-0037,埼玉県,鴻巣市,人形4-6-22,048-540-0388,www.hair-first.jp,無
musee(ミューゼ),366-0054,埼玉県,深谷市,緑ガ丘13−21,048-574-3914,http://www.hair-musee.com,無
SWITCH.HAIR T.ES,367-0030,埼玉県,本庄市,早稲田ノ杜5-4-26,0495-71-9155,http://www.switch-hair-tes.com,
SHAMPOO 本庄店,367-0035,埼玉県,本庄市,西富田953-1,0495-23-0070,http://www.hair-shampoo.jp,
Parimu,368-0034,埼玉県,秩父市,日野田町1-10-17,0494-24-7743,https://beauty.hotpepper.jp/slnH000209276/,無
ウエルビ,369-1202,埼玉県,大里郡寄居町,桜沢3629-1,048-581-8888,http://www.mikaeribijin.com,
ミカエリ美人男衾店,369-1216,埼玉県,大里郡寄居町,富田1713,048-582-0999,http://www.mikaeribijin.com,
ミカエリ美人バランス,369-1245,埼玉県,深谷市,荒川705-1,048-579-1880,http://www.mikaeribijin.com,
Jill nail + eye 高崎,370-0004,群馬県,高崎市,井野町 1122,0573-67-7710,http://www.emusalon.com,
hair a.c.t,370-0005,群馬県,高崎市,浜尻町206-10,027-361-1089,https://hair-act-company.com/,
FENICE,370-0016,群馬県,高崎市,八島町260,027-310-6801,,
arrow hair,370-0018,群馬県,高崎市,新保町324 Green Square E号,027-362-0800,https://beauty.hotpepper.jp/slnH000345073/,有
Ice Candy SPICE,370-0018,群馬県,高崎市,新保町268-1 井草ビル2F 201,027-365-5529,https://beauty.hotpepper.jp/kr/slnH000371481/,無
メッカ高崎店,370-0046,群馬県,高崎市江木町1553,,027-310-5053,https://the-kid.co.jp,
CAMINOIA 高崎,370-0052,群馬県,高崎市,旭町24-4 colors TAKASAKI 2F,027-381-6410,http://caminoia-takasaki.com/,
malibu hair resort伊勢崎店,370-0101,群馬県,伊勢崎市,境東新井463-1,0270-76-1947,https://malibu-hair-resort.jp/,有
Hair&make APHRODITE,370-0514,群馬県,邑楽郡,大泉町朝日5−4−21,0276-55-3287,https://beauty.hotpepper.jp/slnH000359235/,無
malibu hair resort大泉店,370-0535,群馬県,太田市,大泉町寄木戸1465-1,0276-63-5901,https://malibu-hair-resort.jp/,有
F･I･R･S･T 高崎 (ファースト タカサキ),370‐0801,群馬県,高崎市,上並榎町83−2,027‐362‐7695,http://www.first-hair.co.jp/takasaki.html,
FENICE on the beach,370-0831,群馬県,高崎市,アラ町233ドルチェヴィータ高崎3F,027-395-0752,,
Cafune Hair By T2,370-3602,群馬県,吉岡町,大久保288-5,0279-73-9150,http://cafune-t2.jp/,無
emu salon 前橋川原,371-0046,群馬県,前橋市,川原町 1-17-3,0573-67-7708,http://www.emusalon.com,
hair salon HUG,371-0056,群馬県,前橋市,青柳町502‐9,027-289-3290,https://beauty.hotpepper.jp/slnH000377387/,有
STELLA☆HAIR,371-0802,群馬県,前橋市,天川町10−9,027-221-6466,,無
Y's HAIR COMPANY前橋店,371-0804,群馬県,前橋市,大供町 997-1,0573-67-7714,http://www.beauty-ys.jp,
Lagoon,371-0805,群馬県,前橋市,南町2丁目52−4,027-226-5678,,
メッカ 前橋店,371-0847,群馬県,前橋市大友町2-23-5 アルファビル1F,,027-288-0244,https://the-kid.co.jp,
nico.,372-0001,群馬県,伊勢崎市,波志江町1912−9,0270-50-7080,https://beauty.hotpepper.jp/slnH000315808/,
SHAMPOO ヒロセ店,372-0039,群馬県,伊勢崎市,ヒロセ町4087-1,0270-25-5467,http://www.hair-shampoo.jp,
ルジャルダン伊勢崎店,372-0043,群馬県,伊勢崎市緑町6-11,,0270-40-5053,https://the-kid.co.jp,
SHAMPOO 本店,372-0801,群馬県,伊勢崎市,宮子町3634-12,0270-21-1876,http://www.hair-shampoo.jp,
emu salon 伊勢崎,372-0801,群馬県,伊勢崎市,宮子町 3631-22,0573-67-7709,http://www.emusalon.com,
Lumiere 伊勢崎,372-0801,群馬県,伊勢崎市,宮子町 3416-6,0573-67-7712,http://ashikaga-design.com,
FIORE hair muse,372-0812,群馬県,伊勢崎市,連取町1613-8 コーポタガヤA,0270-75-4190,https://beauty.hotpepper.jp/slnH000313816/,有
ファーストクラス伊勢崎店,372-0812,群馬県,伊勢崎市,連取町3087−1,0270-61-6660,http://www.hair-firstclass.com/index.html,
malibu hair resort太田店,373-0033,群馬県,太田市,西本町43-5,0276-57-8992,https://malibu-hair-resort.jp/,有
ファーストクラス太田店,373-0035,群馬県,太田市,藤久良町3番地1,0276-61-3434,http://www.hair-firstclass.com/index.html,
美容室PUNIM 龍舞店,373-0806,群馬県,太田市,龍舞町２０３４－１,0276-60-5399,https://punim.business.site/,無
Hair's Emotion ZERUCH,373-0813,群馬県,太田市,内ケ島町860,0276-55-3008,https://beauty.hotpepper.jp/slnH000311343/,無
borca,373-0818,群馬県,太田市,小舞木町14-1,0276-56-9326,,無
Y's FULL HOUSE太田店,373-0851,群馬県,太田市,飯田町 1071 アビィラビル2F,0573-67-7715,http://www.beauty-ys.jp,
リリィ美容院,373-0852,群馬県,太田市,新井町564-10,0276-30-3717,http://www.riri-plus-atelier.com/,無
Tiare hair makes 太田店,373-0852,群馬県,太田市,新井町565-13 ドリームタウン105,0276-47-1182,https://beauty.hotpepper.jp/slnH000183857/,無
美容室PUNIM 矢島店,373-0861,群馬県,太田市,南矢島町６７,0276-38-8839,https://punim-hair-salon.business.site/,無
HIRO美容室,374-0016,群馬県,館林市,松原1丁目12−34,0276-72-5944,http://hi-ro.perma.jp/,無
ファーストクラス館林店,374-0073,群馬県,館林市,足次町1200-1,0276-55-6774,http://www.hair-firstclass.com/index.html,
ファーストクラス桐生店,376-0031,群馬県,桐生市,本町6-6,0277-43-2777,http://www.hair-firstclass.com/index.html,
Y's HAIR COMPANY桐生本店,376-0035,群馬県,桐生市,仲町 3-5-12,0573-67-7713,http://www.beauty-ys.jp,
Tiare hair makes 藪塚店,379-2301,群馬県,太田市,藪塚町426-1 スペースタウン駅前102,0277-78-8911,https://beauty.hotpepper.jp/slnH000183865/,無
Cogic,379-2304,群馬県,太田市,大原町1226-37,0277-32-3841,http://hair-lounge-cogic.net/,無
malibu hair resortみどり店,379-2311,群馬県,みどり市,笠懸町阿左美399-1,0277-47-6076,https://malibu-hair-resort.jp/,有
ファーストクラスミドリ店,379-2311,群馬県,みどり市,笠懸町阿左美1930-1,0277-46-9600,http://www.hair-firstclass.com/index.html,
VAN C0UNCIL SELECT,380-0823,長野県,長野市,南千歳 1-17-7,026-225-0358,,
SALON'DE chocolate,380-0826,長野県,長野市,北石堂町1027-17 山王の杜1F,026-223-9626,https://www.salonde-chocolate.com/,無
LOBO HAIR,381-0000,長野県,長野市,南長野北石堂町1455 アルビオンU 2F,026-268-1177,http://r.goope.jp/labohair,
ange 大豆島店,381-0022,長野県,長野市,大豆島 4210,026-222-6500,,
Etrange,381-0036,長野県,長野市,平林 2-15-32,026-266-0299,,無
ange 長野店,381-0038,長野県,長野市,東和田 928-4,026-244-5689,,
ACTS Hair,381-0042,長野県,長野市,稲田1-29-1,026-262-1939,https://www.actshair.com,
cercle,381-0043,長野県,長野市,吉田5-24-17,026-266-0811,https://www.hairmake-cercle.com,
VAN COUNCIL 川中島店,381-2215,長野県,長野市,稲里町中氷鉋 962,026-283-5125,,
TONELICO,382-0017,長野県,須坂市,日滝2196-4,026-248-7255,http://www.tonelico-hair.com,
ライカ ヘア デザイン 新中野店,383-0012,長野県,中野市大字一本木252-1 イオン中野店1F,,0269-23-5914,https://the-kid.co.jp,
LUCIDO  STYLE  ORGA,384-0808,長野県,小諸市,御影新田 2519-6,0267-41-0313,,
HEAT 佐久店,385-0022,長野県,佐久市,岩村田2328-2 Embellir Saku,0267-67-6111,http://www.heat-tokyo.com/saku.html,有
ヘアーアンドメイクSAWA 佐久店,385-0022,長野県,佐久市,岩村田835-1,0267-68-8145,,
LOHAS OF HAIR OLIVE(オリーブ),385‐0027,長野県,佐久市,佐久平駅北17−2,0267‐88‐7188,https://olive-online.org,
Fika,385-0029,長野県,佐久市,佐久平駅南 20-2,0267-88-6659,,
ル･クゥル佐久店,385‐0029,長野県,佐久市佐久平駅南２４−１ ベイシア佐久平モール内,,026-754-8163,https://the-kid.co.jp,
ヘアーアンドメイクSAWA 上田店,386-0012,長野県,上田市,中央,0268-25-2416,,
ラ･ルージュ アリオ上田店,386-0025,長野県,上田市天神3-5-1 アリオ上田店1F,,0268-75-8087,https://the-kid.co.jp,
ヘアーアンドメイクSAWA 天神店,386-0025,長野県,上田市,天神3-3-3-1F,0268-22-7725,,
ange グリーンパーク店,386-1103,長野県,上田市,神畑 515-1,0268-29-0025,,
HENMiiSM,387-0012,長野県,千曲市,桜堂425,026-272-0681,http://www.henmi-ism.com,
クリアー 上田店,388-0016,長野県,上田市常田2-12-18 イオン上田SC2F,,0268-29-9367,https://the-kid.co.jp,
uーniーverse,388-8007,長野県,長野市,篠ノ井布施高田 858-3-2F,026-292-7053,,
ヘアーアンドメイクSAWA･東御店,389-0512,長野県,東御市,滋野乙1298-1,0268-64-5037,,
hair･Glanz,389-1105,長野県,長野市,豊野町豊野 1200-19,026-257-2372,,
BRUSH,390-0811,長野県,松本市,中央1-11-11 センターイン伊勢町ビル2F,0263-36-6356,http://brush-matsumoto.com/,無
Shelly,390-0811,長野県,松本市,中央1-8-11 セントラル松本中央ビル1F,0263-36-8897,http://www.shelly-salon.com/,無
rocks BY MAG,390-0811,長野県,松本市,中央2-2-3 2F,0263-50-5220,http://www.mag-salon.jp/,無
COLK by Mag,390-0811,長野県,松本市,中央1-11-1折井ビル3F,0263-87-8998,http://www.mag-salon.jp/,無
Mag サロンギャラリー,390-0811,長野県,松本市,中央2-2-3 3F,0263-88-5877,http://www.mag-salon.jp/,無
Uhara HAIR (ウハラヘアー）,390-0811,長野県,松本市,中央1-8-2 ナカツカビル2F,0263-39-2666,http://www.uhara-hair.com/,無
micmal,390-0811,長野県,松本市,中央1-5-23,0263-31-3214,https://beauty.hotpepper.jp/slnH000384917/,
hair design sLeep,390-0813,長野県,松本市,埋橋1-12-26 マンションシエスタ10B,0263-31-5930,http://www.sleep-web.jp/,無
RED SALON,390-0813,長野県,松本市,埋橋1‐1‐4 1F,0263-88-6241,https://beauty.hotpepper.jp/slnH000213845/,無
Coni,390-0815,長野県,松本市,深志2-2-6 加納ビル1F,0263-36-5522,http://coni-hair.com/,無
アムール松本,390-0815,長野県,松本市深志1-2-30 アリオ2F,,0263-31-5175,https://the-kid.co.jp,
VAN COUNCIL 松本店,390-0815,長野県,松本市,深志 1-2-2,0263-34-2520,,
ビューティプラザヤマダ ツカマ店,390-0821,長野県,松本市,筑摩1丁目13−17,0263-27-3739,http://bp-yamada.com/,無
pairo hair,390-0827,長野県,松本市,出川2-6-14,0263-25-1178,http://pairohair.com/home/,無
apaiser hair home,390-0828,長野県,松本市,庄内3-7-7,0263-50-6937,http://apaiser-hair.com/,無
ARONA,390-0833,長野県,松本市,双葉7−23 ダンダンプラザ東103,0263-87-8229,https://beauty.hotpepper.jp/slnH000331438/,無
Miracle･arm's Sin,390-0843,長野県,松本市,高宮南 5-32,0263-88-7707,,
ヘアー フレーシャ,390-0851,長野県,松本市,島内4012-3,0263-48-3435,,無
hair design PERCHE,390-0852,長野県,松本市,島立1054-2 ナカザワビル2F,0263-88-6735,http://perche-hair.sakura.ne.jp/,無
レクレール（LECLAIRE）,390-0852,長野県,松本市,島立1094-1,0263-40-0750,https://eponge.net/,無
リラクゼーションスペース森羅,390-0874,長野県,松本市,大手2-8-5,0263-32-3429,http://sinra1.com/,無
BELPA,390-0874,長野県,松本市,大手2丁目1-1,0263-33-1107,http://www.belpa.jp/,無
mani,390-0874,長野県,松本市,大手4-3-2,0263-50-9441,http://mani.ciao.jp/,無
ブラウニー（Brownie）,390-0874,長野県,松本市,大手2-3-1 1F,0263-38-7556,https://eponge.net/,無
Bello hair design（ベッロ ヘアー デザイン）,390-1701,長野県,松本市,梓川倭3075-6,0263-31-5122,https://www.bello-hair-design.com/,無
ヘアールートジー,391-0005,長野県,茅野市,仲町17‐1,0266-73-7771,http://www.genoventti.com/,無
Hair's CREW 茅野店,391-0216,長野県,茅野市,米沢,0267-68-8145,,
hair Shanti,392-0013,長野県,諏訪市,沖田町5-17,0266-75-2889,,無
Hair's CREW 中州店,392-0015,長野県,諏訪市,中洲 709-3,0266-75-1378,,
HAKO,392-0021,長野県,諏訪市,上川1丁目1462‐4,0266-57-4512,http://www.hako-salon.net/,無
Hair's CREW 城南店,392-0023,長野県,諏訪市,小和田南 22-11,0266-53-9850,,
Amici,394-0027,長野県,岡谷市,中央町1-1 ララオカヤ1F,0266-23-1077,http://amici-okaya.com/,無
Hair&Relax e:s,394-0029,長野県,岡谷市,幸町3-2,0266-55-4991,,
美容室Lucir(ルシル),394-0035,長野県,岡谷市,天竜町3-18-23,0266-78-7305,http://lucir-hairsalon.com/,無
美容室HARADA,394-0083,長野県,岡谷市,長地柴宮3-1-1,0266-27-2420,http://biyoushitsu-harada.com/,無
美容室エルロード 岡谷店,394-0083,山梨県,岡谷市,長地柴宮 2-1-10,0266-26-2244,,
Hair Make apure,395-0001,長野県,飯田市,座光寺3894-1,0265-53-8225,,無
Daisy Cue(デイジー･キュー),395-0002,長野県,飯田市,上郷飯沼1656-5,0120-52-2580,http://fukushima-hair.com/,無
marble,395-0025,長野県,飯田市,東中央通り3271-1,0265-23-6121,,無
Haal,395-0026,長野県,飯田市,鼎西鼎591－8,0265-48-6040,https://www2.hp-ez.com/hp/cest-la-vie/page1,無
Hair of Rejoice,395-0045,長野県,飯田市,知久町1-9 まちカンビル2002 2F,0265-53-8221,,無
HairWorksRita,395-0151,長野県,飯田市,北方3067−3,0265-49-0034,,無
wibo,395-0806,長野県,飯田市,鼎上山3771-5 ,0265-53-3353 ,https://www.instagram.com/wibo_hair/?hl=ja,
As. Hair&Nail,395-0823,長野県,飯田市,松尾明7658-2,0265-48-0538,,無
hair&spa klala,396-0001,長野県,伊那市,福島 152-1,0265-95-4213,,
hair&spa klala,396-0001,長野県,伊那市,福島 152-1,0265-95-4213,,
hair･space･Regatta,396-0010,長野県,伊那市,境1060,0265-72-8480,,
サンリッツヒビキ,396-0024,長野県,伊那市,坂下3325,0120-722-412,,無
Vita Hair Design,396-0025,長野県,伊那市,荒井 4819-6,0265-74-9588,,
CROP+PLUS,396-0026,長野県,伊那市,西町6395-1,0265-78-7799,http://crop-plus.com/,無
イマージュ,398-0002,長野県,大町市,大町仁科町3203-3,0261-23-6151,,無
R.A.F by Mag,399-0006,長野県,松本市,野溝西1-11-27,0573-67-7620,http://www.mag-salon.jp/,無
Rolen.,399-0014,長野県,松本市,平田東1-3-1 MARU9 BASE 1階,0263-88-3939,,無
hair&lohas Reir,399-0022,長野県,松本市,松原 42-13,0263-88-3514,,
Cyan salon,399-0036,長野県,松本市,村井町南2-22-10,0263-31-6163,https://wx29.wadax.ne.jp/~cyan-salon-com/,無
ヘアデザイン ルーシュ,399-0038,長野県,松本市,小屋南1−11−3,0263-31-0143,,無
Beauty Salon Furumachi,399-0038,長野県,松本市,小屋南1-40-5,0263-58-2111,,無
スタジオMONO,399-0701,長野県,塩尻市,広丘吉田 3322,0263-86-4410,,
ビューティプラザヤマダ 本店,399-0703,長野県,塩尻市,広丘高出1861,0263-52-2158,http://bp-yamada.com/,無
VOSSO,399-0706,長野県,塩尻市,広丘原新田213-20,0263-31-0803,http://vosso.net/salon.html,無
美容室 ルンママ,399-0735,長野県,塩尻市,大門二番町9-30,0263-53-8008,,無
美容室フクシマ 高森店,399-3103,長野県,下伊那郡高森町,下市田1512-4,0120-53-2580,http://fukushima-hair.com/,無
美容室フクシマ 松川店,399-3301,長野県,下伊那郡松川町,上片桐2274-4,0120-51-2580,http://fukushima-hair.com/,無
Ran-beuty project-,399-4102,長野県,駒ヶ根市,飯坂1-12-1,0265-83-3428,https://peraichi.com/landing_pages/view/ran-beauty-project,無
ヘアファクトリー A2,399-4117,長野県,駒ヶ根市,赤穂10795-2,0265-83-7799,http://hair-a2.net/,無
Hair Studio Special,399-4117,長野県,駒ヶ根市,赤穂北割一区3323-1,0265-83-2144,,無
AMARA one's hair,399-4511,長野県,上伊那郡南箕輪村,1313-3,0265-73-8888,,無
LUCIDO  STYLE La Luce,399-4511,長野県,上伊那郡,南箕輪村一円久保 301,0265-73-7388,,
美･リフレイン,399-6461,長野県,塩尻市,宗賀3706-1,0263-54-2452,,無
HAIR STUDIO 3.14,399-8204,長野県,安曇野市,豊科高家6483-15,0263-87-0314,,無
nico hair design,399-8205,長野県,安曇野市,豊科4338-2,0263-71-2366,http://nico-hair-design.net/,無
フェスタル,399-8205,長野県,安曇野市,豊科4372−2,0263-72-6185,,無
美容室PIXIE（ピクシー）,399-8205,長野県,安曇野市,豊科5795,0263-73-6553,http://pixie-hair.com/,無
lilt hair,399-8211,長野県,安曇野市,堀金烏川3128-4,0263-72-8767,http://lilthair.com/,無
ヘアースタジオ 優香美,399-8211,長野県,安曇野市,堀金烏川3009-2,0263-73-9225,,
LUNA,399-8601,長野県,北安曇郡,池田町大字池田3030-1,0261-85-2880,,無
ヘアーステージ エルコレクション,400-0047,山梨県,甲府市,徳行 1-2-18,055-221-8808,,
Stil Hair,400-0048,山梨県,甲府市,貢川本町 1410,055-220-1414,,
hair & relaxation obje,400-0053,山梨県,甲府市,大里町935-3 グリーンハイツ1F,055-288-0435,http://obje.co,
MYA Ryuo,400-0117,山梨県,甲斐市,西八幡4446-2,055-276-7173,http://m-y-a.jp/salon/,
MYA Shikishima,400-0125,山梨県,甲斐市,長塚38-1,055-267-3000,http://m-y-a.jp/salon/,
美容室エルロード 敷島店,400-0126,山梨県,甲斐市,大下条 971-2,055-277-4917,,
ATTRICE 六科店,400-0206,山梨県,南アルプス市,六科1527-13,055-285-3166,http://attrice.net/salon/mujina/,
イノセンス 山梨店,400-0305,山梨県,南アルプス市大字十五所685-3 南アルプスガーデン,,055-280-3325,https://the-kid.co.jp,
FLAP,400-0814,山梨県,甲府市,上阿原町772-23,055-235-5454,http://flap-hairmake.com/,
MYA Wado,400-0815,山梨県,甲府市,国玉町334-4,055-288-8544,http://m-y-a.jp/salon/,
MYA,400-0831,山梨県,甲府市,上町1180-4,055-298-4006,http://m-y-a.jp/salon/,
リューズスタジオ,403-0004,山梨県,富士吉田市,下吉田7-34-3,0555-24-2030,http://www.ryus-st.jp/menu.html,無
Birthplace HAIR DRESSER,403-0007,山梨県,富士吉田市,中曽根4-9-8,0555-30-0280,,
ヘアーメイクリンクス,404-0043,山梨県,甲州市,塩山下於曽 1474-1,055-333-8770,,
美容室エイム一宮店,405-0076,山梨県,笛吹市,一宮町竹原田1333,055-277-4923,,
felice 石和,406-0028,山梨県,笛吹市,石和町駅前16-1 イオン石和1F,0120-632-400,https://www.estacio.jp/,
reco.LAB,407-0012,山梨県,韮崎市,富士見1-1-20,0551-45-9264,http://recolab629.info,無
Hair Make EMOTION,407-0104,山梨県,甲斐市,龍地 3614,055-128-8111,,
美容室エイム,409-3601,山梨県,西八代郡,市川三郷町市川大門 2009-2,055-272-0907,,
ヘアステージ ベレット,409-3821,山梨県,中央市,下河東 400,055-278-6188,,
ATTRICE 田富店,409-3841,山梨県,中巨摩郡,田富町布施21-2,055-274-0171,http://attrice.net/salon/tatomi/,
GLOSSY,409-3843,山梨県,中央市,西花輪 2717-2,055-288-8228,,
DEPARTURE,409-3845,山梨県,中央市,山之神3625-1 サンドラック駐車場内,055-288-1328,http://departure-hairsalon.com/,
ATTRICE 昭和店,409-3866,山梨県,中巨摩郡,昭和町西条3123,055-275-1007,http://attrice.net/salon/showa/,無
MYA Showa,409-3866,山梨県,中巨摩郡昭和町,西条3802-2,055-268-1550,http://m-y-a.jp/salon/,
ushiwakamaru macaron(ウシワカマルマカロン),410-0003,静岡県,沼津市,新沢田町19-40,0559-41-5620,http://www.ushiwakamaru.co.jp/,
Jスタイル 沼津店,410-0022,静岡県,沼津市大岡1330-1 ウォルマート西友沼津大岡店1F,,055-964-1007,https://the-kid.co.jp,
bube(ブーベ),410-0046,静岡県,沼津市,米山町2−64 アルトトーレAB,055-956-2411,http://www.bubehairdesign.com/,
BICASA(ビカーサ),410-0056,静岡県,沼津市,高島町2−2 開成ビル1F,055-919-4537,http://www.bicasa-salon.com/,
ushiwakamaru Pirates (パイレーツウシワカマル),410-0062,静岡県,沼津市,沼津市宮前町11-1,0120-595-787,http://www.ushiwakamaru.co.jp/,
boozu沼津店,410-0801,静岡県,沼津市,大手町2-9-3蓮池ビル1F,055-952-1707,http://boozu.jp/,
SCISSORS UNIVERSITY USHIWAKAMARU(シザーズユニバーシティウシワカマル),410-0801,静岡県,沼津市,大手町1-1-5 Bivi1F,0120-465-005,http://www.ushiwakamaru.co.jp/,
SORA(ソラ),410-0832,静岡県,沼津市,御幸町11-1カネコビル1階,055-956-0314,http://www.sorastyle.net/,
Lapin MaxValu裾野茶畑店(ラパンマックスバリュースソノチャバタケテン),410-1121,静岡県,裾野市,茶畑2−1,055-992-7717,,
ushiwakamaru EaSt(ウシワカマルイースト),410-1123,静岡県,裾野市,裾野市伊豆島田818-2 ロイヤルプラザ市川101,0120-38-8900,http://www.ushiwakamaru.co.jp/,
alfam(アルファム),410-1123,静岡県,裾野市,伊豆島田818−1 ロイヤルプラザ飯塚,055-950-6201,http://alfambeautylounge.com/,
boozu伊豆ノ国店,410-2114,静岡県,伊豆の国市,南條757-1,055-949-7023,http://boozu.jp/,
SHAPE(シェイプ),410-2407,静岡県,伊豆市,柏久保1304,0120-103-394,http://shape-hair.jp/,
PATIO(パティオ),411-0045,静岡県,三島市,萩363−2,0120-735-731,http://patio.pr-pro.jp/,
