サロン名,〒,都道府県,市,詳細住所,tel,サロンHP,CCVeil取り扱い有無
Birth(バース),673-0866,兵庫県,明石市,朝霧町2-2-15,078-914-8727,http://birthhealingworld.com/,
HAIR POCKET style(ヘアポケット スタイル),637-0891,兵庫県,明石市,大明石町1−3−16サンタウン･明石ウエスト1F,078-917-112,http://www.hair-pocket.com/shop.html,無
HAIR POCKET merry(ヘアポケット メリー),673-0866,兵庫県,明石市,朝霧町3−14−1,078-917-1200,http://www.hair-pocket.com/shop.html,無
HAIR POCKET ritta(ヘアポケット リタ),637-0891,兵庫県,明石市,大明石町1−7−33 大手ビル2F,078-919-6330,http://www.hair-pocket.com/shop.html,無
hair make 1's Color 西明石店(ヘアメイクワンズカラー ニシアカシテン),673-0005,兵庫県,明石市,小久保2-13-1 アバンダン西明石1F,078-921-5699,http://www.1s-color.jp/,無
flare-想-(フレア イデア),673-0003,兵庫県,明石市,鳥羽1537,078-922-0333,http://www.flare-mirare.com/,無
zeal plus 西明石駅前店(ジールプラス ニシアカシエキマエテン),673-0012,兵庫県,明石市,和坂13-6-103,078-929-7211,,無
flare-志-(フレア ミラーレ),674-0051,兵庫県,明石市,大久保町駅前1−17−10 パレロワイヤル参番館1F,078-937-6330,http://www.flare-mirare.com/,無
biquette,675-0163,兵庫県,加古郡,播磨町古宮231−3,078-941-0335,http://www.luce-hair-design.me/,有
キュービック 明石店,674-0094,兵庫県,明石市二見町西二見駅前1-18 イトーヨーカ堂2F,,078-941-0987,https://the-kid.co.jp,無
HAIR POCKET 魚住(ヘアポケット ウオズミ),674-0081,兵庫県,明石市,魚住町錦ガ丘3−14−1,078-946-3888,http://www.hair-pocket.com/shop.html,無
ビューティプラザ ハラ魚住店(ビューティープラザ ハラ ウオズミテン),679-0103,兵庫県,明石市,魚住町西岡1345,078-947-4902,www.bp-hara1979.com,無
CASE+GREEN,673-0016,兵庫県,明石市,松ノ内2丁目1-8-1F,078-959-6081,https://beauty.hotpepper.jp/slnH000110232/,無
clip西神中央(クリップ セイシンチュウオウ),651-2277,兵庫県,神戸市,西区美賀多台3-13-6 ミカタプラザ 1F,078-961-6521,http://www.clip-kobe.com/,
agustina(アグスティナ),674-0066,兵庫県,明石市,大久保町福田85-1 サン･ブランシェ101,078-964-5576,http://sanbanchi.com/,有
La fith 明石,673-0886,兵庫県,明石市,東仲ノ町3-25-102,078-995-8630,,無
salon de LHOOQ(サロンドルーク),670-0012,兵庫県,姫路市,本町227 ザクセン姫路1F,079-224-2227,http://www.lhooq.jp/,有
リアン 姫路店,671-1146,兵庫県,姫路市大津区大津町2-5 イオン姫路SC 1F,,0792-30-69150,https://the-kid.co.jp,無
TICK-TOCK Paradime(チックタック パラダイム),672-8072,兵庫県,姫路市,飾磨区蓼野町155,079-233-1589,http://www.tick-tock.co.jp/,無
Neo Egoist,672-8071,兵庫県,姫路市,姫路市飾磨区 構4丁目48,079-235-9922,,無
リアン 新姫路店,672-8064,兵庫県,姫路市飾磨区細江2560 イオンモール リバーシティ３Ｆ,,079-240-9440,https://the-kid.co.jp,無
La fith reve,670-0927,兵庫県,姫路市,駅前町344 2F,079-280-6686,,無
ECOLOGICaL GLOBES(エコロジカル グローブス),672−8040,兵庫県,姫路市,飾磨区野田町198,079-282-3636,,無
Hair Salon SERO(ヘアーサロンセロ),670-0837,兵庫県,姫路市,宮西町4−15−1,079-287-3788,http://hairsalon-sero.com/,無
NUMBER NINE,670-0925,兵庫県,姫路市,亀井町 82,079-287-8909,,無
TICK-TOCK Airline(チックタック エアライン),670-0924,兵庫県,姫路市,紺屋町82,079-289-8811,http://www.tick-tock.co.jp/,無
green flow(グリーンフロウ),670-0056,兵庫県,姫路市,東今宿6−14−38,079-292-0088,,無
Soul eater Level 4,675-0063,兵庫県,加古川市,加古川町平野350 シェーネルブラウエン加古川1F-C,0794-22-4778,http://souleaterkakogawa.wixsite.com/souleater,無
Soul eater Black Label,675-0101,兵庫県,加古川市,平岡町新在家1-260-15 SAiiビル2F,0794-22-5234,http://souleaterkakogawa.wixsite.com/souleater,無
SANBANCHI(サンバンチ),675-0039,兵庫県,加古川市,加古川町粟津249-1 太陽ビル3F,079-422-7052,http://sanbanchi.com/,有
Preak(プリーク),675-0027,兵庫県,加古川市,尾上町今福283−7,079-423-0552,www.bp-hara1979.com,無
Portal Hair dressing(ポータルヘアドレッシング),675-0031,兵庫県,加古川市,加古川町北在家549-1,079-425-8402,http://portal-hd.com/,無
Sora Hair Design,675-0039,兵庫県,加古川市,加古川町粟津620−1,079-427-5705,,無
ビューティプラザ ハラ別府店(ビューティープラザ ハラ ベフテン),674-0084,兵庫県,加古川市,別府町石町6−3 グレイス6 1F,079-435-4109,www.bp-hara1979.com,無
Sora Hair Design 別府店,675-0122,兵庫県,加古川市,別府町別府559-9,079-437-3503,,無
NON,676-0022,兵庫県,高砂市,高砂町浜田町2-15−19,079-442-5977,http://non-group.jp/,無
Luce.hair.design,675-0144,兵庫県,加古郡,播磨町北本荘2丁目6−46,079-451-7633,http://www.luce-hair-design.me/,有
viola,675-0065,兵庫県,加古川市,加古川町篠原町103-5 クレストコート加古川101,079-454-2955,http://www.hanam.jp/,有
hair make 1's Color 東加古川店(ヘアメイクワンズカラー ヒガシカコガワテン),675-0101,兵庫県,加古川市,平岡町新在家653-1 加古川イオン前,079-454-6188,http://www.1s-color.jp/,無
Hair design THRIRE,675-0031,兵庫県,加古川市,加古川町北在家790−5,079-456-2300,http://www.luce-hair-design.me/,有
hair CREW(ヘアクルー),673-0534,兵庫県,三木市,緑ガ丘町本町1丁目257,0794-84-2413,http://home.rasysa.com/hair-crew/,無
apsee(アプシー),669-1535,兵庫県,三田市,南ガ丘2-13-46 GEG7THビル2F,079-551-2135,http://apsee1.com/,
apsee 三田駅前店,669-1528,兵庫県,三田市,駅前町4-28 クウォッカビル2F,079-563-8810,http://apsee1.com/,有
スタイルBOXキャロル(スタイルボックスキャロル),669-3311,兵庫県,丹波市,柏原町母坪385,0795-72-5086,,有
ONEFINI,669-3309,兵庫県,丹波市,柏原町柏原2827-1,0795-73-0553,https://www.navitime.co.jp/poi?spt=00011.060775093,無
LA COUPE OTANI(ラ クープ オオタニ),668-0043,兵庫県,豊岡市,桜町10−1,0796-23-6137,www.otani-coupe.jp,
ル･ジャルダンage芦屋(ル ジャルダン アージュ アシヤ),659-0065,兵庫県,芦屋市,公光町10−14 フラッテロビル2F,0797-35-8855,www.jardin-net.com,有
soin de brace芦屋店,659-0068,兵庫県,芦屋市兼平町1-20芦屋アーズ２F,,0797-38-4590,http://brace.co.jp/salon/1888?tmp=1,有
Rose Takarazuka,665-0845,兵庫県,宝塚市,栄町1-6-2 花ノミチセルカ2番館1F,0797-69-6484,http://ks-hair.co.jp/rose/,有
dot.hair gem,665-0034,兵庫県,宝塚市,小林2-6-12,0797-71-1180,http://www.dot-hair.com/,無
Rose Sakasegawa,665-0035,兵庫県,宝塚市,逆瀬川2-1-11 2F,0797-72-2623,http://ks-hair.co.jp/rose/,有
Jeunesse 小林,665-0034,兵庫県,宝塚市,小林5−32 ロイヤルハイツ小林,0797-72-9341,www.bs-jeunesse.com,無
Hair Color Station(ヘアカラーステーション),662-0973,兵庫県,西宮市,田中町1-26 阪神百貨店ニシノミヤ内,0798-22-2513,http://www.clip-kobe.com/,
Rose西宮店(ロゼ ニシノミヤテン),662-0918,兵庫県,西宮市,六湛寺町1-13ドンキホーテ1F,0798-22-2991,http://ks-hair.co.jp/rose/,有
WORLD BEAUTY VIVALTO西宮店,663-8204,兵庫県,西宮市,高松町4-37 中林ビル西宮2F,0798-31-6852,,無
WiLL 西宮店,662-0912,兵庫県,西宮市,松原町4-1 2F,0798-32-6543,http://www.will-style.com/,有
DAHLI plum(ダリ プリュム),663-8201,兵庫県,西宮市,田代町1−8,0798-39-9955,http://www.dahli.jp/,有
xanadu hair (ザナドゥ ヘア),663-8177,兵庫県,西宮市,甲子園七番町19‐13,0798-40-2014,http://xanadu-e.com/,無
Aarc 門戸厄神店(アーク モンドヤクジンテン),662-0825,兵庫県,西宮市,門戸荘17-35 レジデンシア門戸101,0798-54-3888,,無
DAHLIsky,663-8035,兵庫県,西宮市,北口町10−8,0798-56-9455,http://www.dahli.jp/,無
Aarc (アーク),662-0812,兵庫県,西宮市,甲東園1丁目5−5,0798-57-0588,,無
Louvre(ルーブル),663-8204,兵庫県,西宮市,高松町7-29 エレナ西宮北口1F,0798-61-1059,www.luovre-hair.com,有
Rose Koshienguchi,663-8113,兵庫県,西宮市,甲子園口3-3-18 ハックス甲子園口ビル4F,0798-63-8200,http://ks-hair.co.jp/rose/,有
full marks 西宮北口,662-0834,兵庫県,西宮市,南昭和町10−25 コンド南昭和町ビル1F,0798-65-6650,https://beauty.hotpepper.jp/slnH000187537/,有
DAHLI(ダリ),662-0832,兵庫県,西宮市,甲風園1丁目7−6,0798-66-0699,http://www.dahli.jp/,有
CORSO by k-two 西宮ガーデンズ(コルソ バイ ケートゥー ニシノミヤガーデンズ),663-8204,兵庫県,西宮市,高松町14−2阪急西宮ガーデンズ3階341番,0798-68-6648,http://www.k-two.jp/salons/nishinomiya/,無
Felice,066-0041,北海道,千歳市,清水町3丁目8−1 スクエアビルⅡ,0123-21-8780,http://felice-chitose.com/,無
HAIR MAKE ALUNA大通店,060-0062,北海道,札幌市,中央区南2条西6丁目土肥ビル2F,011-200-8833,http://maluna-hair.com/,有
ROSTAR,060-0061,北海道,札幌市,中央区南1条西3丁目8 エムズサッポロビル4F,011-206-4458,,無
DEFY,060-0063,北海道,札幌市,中央区南3条西1丁目,011-206-8278,https://www.facebook.com/ＤＥＦＹ-デフィー-252228548207124/?ref=hl,無
ALURE大通店,060-0062,北海道,札幌市,中央区南2条西5丁目6−1ロジェ札幌25(ロジェプラザ内) 2F,011-206-8804,,無
virtue,060-0063,北海道,札幌市,中央区南3条西4丁目11-2 アーバン札幌別館1F,011-210-0225,http://www.virtue-info.cc/,無
インセイン,060-0002,北海道,札幌市,中央区北2条西3丁目札幌北2条ビル3F,011-210-9505,http://insane-summit.com,有
Lien,060-0005,北海道,札幌市,中央区北5条西24−2−1,011-213ｰ9223,https://beauty.hotpepper.jp/slnH000264545/,無
asterisk,060-0062,北海道,札幌市,中央区 南2条西2丁目8−2,011-215-1037,https://www.facebook.com/asterisk.2015103/,無
sigum,064-0820,北海道,中央区,大通西20-3-31 3F,011-215-5233,http://signum-s.com/bud/,無
starly,063-0812,北海道,札幌市,西区琴似2条7-2-46,011-215-7299,https://beauty.hotpepper.jp/slnH000346856/,無
cotie,060-0062,北海道,札幌市,中央区南2条西1-17 2F,011-221-3800,http://cotie.jp/,無
Betray,060-0061,北海道,札幌市,中央区南1条西1丁目マナー白鳥ビル1F,011-221-4447,http://www.betray.jp/,無
MEIKA,060-0062,北海道,札幌市,中央区南2条西1丁目8-2 アスカビル3F,011-222-1572,http://meika-hair.com/,無
インプレッション イスト,060-0061,北海道,札幌市,中央区南1条西1丁目Sakaビル2F/3F,011-222-2546,http://impression-web.jp/,無
アナザー,060-0002,北海道,札幌市,中央区北2条西2丁目UENOビル地下1階,011-222-6110,http://www.another-kamikiri.com/,無
"STILL hair,spa&eyelash",060-0042,北海道,札幌市,中央区大通西1丁目11番地ル･トロワ5F,011-223-2000,http://still-beauty.com/,有
STILL un label,060-0062,北海道,札幌市,中央区南2条西3丁目1-7MODAビル2階,011-223-2222,http://still-beauty.com/,無
KESTRA,060-0063,北海道,札幌市,中央区南3条西2丁目 H&B PLAZA 2F,011-232-2310,http://www.kestra.info,有
チャップリン,002-0854,北海道,札幌市,北区屯田4条7-10-1,011-242-2338,https://beauty.hotpepper.jp/slnH000123259/?vos=evhpbpy0003&utm_source=yahoo&utm_medium=cpc&utm_campaign=%e7%be%8e%e5%ae%b9_%e3%82%b5%e3%83%ad%e3%83%b3_DSA&utm_term=,無
LAD HAIR,060-0061,北海道,札幌市,中央区南1条西2-4-1 第5藤井ビル2F,011-242-2338,https://beauty.hotpepper.jp/slnH000118963/,無
BLOW,064-0805,北海道,中央区,南5条西2-1 2F,011-252-7970,https://beauty.hotpepper.jp/slnH000371512/,有
HACO,060-0004,北海道,札幌市,中央区北4条西3丁目 成友ビル9F,011-252-9240,http://bico-salon.com/,無
HairSalon ZEEN,060-0032,北海道,札幌市中央区,北2条東1丁目5−2E−hoeizon北2条,011-252-9320,http://hairsalon-zeen.com/,有
one's by bico,060-0061,北海道,札幌市,中央区南1条西3丁目8 エムズサッポロビル4F,011-272-3327,http://bico-salon.com/,無
bico SAPPORO,060-0003,北海道,札幌市,中央区北3条西3丁目 マルゲンビル4F,011-272-7110,http://bico-salon.com/,無
coaen,060-0807,北海道,札幌市,北区北7条西6−1−1,011-374-6672,https://beauty.hotpepper.jp/slnH000317067/,無
グランディーヌ札幌,065-8518,北海道,札幌市東区北7条東9-2-20  アリオ札幌１F,,011-374-8804,https://the-kid.co.jp,無
torank's 札幌,004-0052,北海道,札幌市,厚別区厚別中央二条2−3−6,011-398-7867,www.pesca-hair.jp/salon,有
pesca 札幌大通,064-0804,北海道,札幌市,中央区南4条西2−14−2 セントラルS4ビル9F,011-522-5744,www.pesca-hair.jp/salon,有
G-grow,064-0805,北海道,札幌市,中央区南5条西3−8 Nグランデビル5F,011-596-0006,https://beauty.hotpepper.jp/slnH000351356/,無
molle,060-0061,北海道,札幌市,中央区南1条西5丁目5-5 北日本中央ビル2F,011-596-9988,http://sapporo.molle.jp/,有
ViBRANT,003-0002,北海道,札幌市白石区,東札幌2条2丁目4−10αNEXT東札幌2F,011-598-0963,http://www.vibrant-hair.com/,無
HAIR MAKE MALUNA本店,060-0042,北海道,札幌市,中央区大通西18丁目インフィニート大通2F,011-616-8833,http://maluna-hair.com/,有
Friend's Double,006-0029,北海道,札幌市手稲区,手稲本町1条4丁目1−4テイネ1･4ビル1F,011-699-1771,http://www.friends-salon.jp/,無
美容室 スニップ,065-0013,北海道,札幌市,東区北13条14−4−1,011-702-3833,http://www.snip-web.jp/index.html,無
SANS-SOUCI,065-0023,北海道,札幌市,東区北23条東15-5-27 1F,011-733-9333,https://beauty.hotpepper.jp/slnH000040066/,無
リピュート,065-0024,北海道,札幌市,東区北24条東16-1-4 ロイヤル元町2F,011-784-1057,https://beauty.hotpepper.jp/slnH000121320/,無
omoya,001-0023,北海道,札幌市,北区北23条西3-2-20,011-792-0208,https://beauty.hotpepper.jp/slnH000289802/,無
GROEN,060-0042,北海道,札幌市,中央区大通西15丁目1-13,011-795-7567,http://www.dplus-groen.com/#!/salon,有
Arrange & Blow bar topico,005-0004,北海道,札幌市,北海道札幌市南区澄川4条2丁目2-3 アールユービル2F,011-813-3292,http://to-pico.com/staff_list.html,無
hair salon Linda,063-0814,北海道,札幌市,西区琴似4条1丁目1-1 コルテナ 1F,011-838-8311,http://linda-sapporo.com/,無
MIZZO,062-0020,北海道,札幌市,豊平区月寒中央通7-6-20 JA月寒中央ビル1F,011-857ｰ9123,http://www.mizzo-salon.com/blog/,無
SKNOW,060-0062,北海道,札幌市,中央区南2条西4丁目 Pivot5F,0120-184-183,http://www.salon-sknow.jp/,有
RUCOLA,080-0111,北海道,河東郡音更町,木野大通東2-2-1,0120-972-788,http://rucola-salon.info/introduction/,無
moooooi HAIR SPACE,061-1435,北海道,恵庭市,中島町2-8-15,0123-25-3370,https://www.moooooihs.com/,無
Hairmake U-YU,047-0032,北海道,小樽市稲穂,3丁目8−17,0134-64-1801,http://u-yu.main.jp/,無
Design Labo arte,046-0025,北海道,余市郡余市町,富沢町9−8,0135-22-0020,http://designlabo-arte.com/,有
Luluwdy,040-0034,北海道,函館市,大森町22−2,0138-24-2003,http://www.luluwdy.com/,無
ESTMODE,041-0811,北海道,函館市,富岡町1丁目23−1,0138-40-0450,http://estmode.com,有
RiTA,041-0801,北海道,函館市,桔梗町418−409,0138-83-5195,http://rita.hairclub-mix.com/,無
HAIR SPACE chouchou,053-0054,北海道,苫小牧市,明野新町6-33-7,0144-57-0102,http://hair-chouchou.com/,有
anis musee,059-1263,北海道,苫小牧市,青雲町1丁目23-15,0144-68-3838,www.anis93.com,無
chouchou α,059-1302,北海道,苫小牧市拓勇西町,4丁目3−2,0144-84-3636,http://www.hair-chouchou.com/,有
ヘアーズ スプーン,085-0063,北海道,釧路市,文苑1-22-2,0154-38-0789,http://hairs-spoon.com/menu,有
YACQUWA ∞,085-0813,北海道,釧路市,春採6丁目10番3号,0154-42ｰ1777,http://www.yacquwa.com/menu/,無
FEEL,084-0910,北海道,釧路市,昭和中央3-45ー11,0154-52-2030,http://salon-feel.net/index.html,有
帯廣美容所,080-0015,北海道,帯広市,西5条南19丁目18番地,0155-21-0321,https://obihirobiyoujo.amebaownd.com/,有
kiriko atelier,080-0016,北海道,帯広市,西6条南31丁目5-2,0155-22-7711,http://kiriko-a.jp/index.php,無
THE BENCHMADE STORE,080-0301,北海道,河東群音更町,木野大通西14丁目1-19,0155-30-9020,https://www.facebook.com/The.Benchmade.Store,無
アラモード サントル,080-0028,北海道,帯広市,西18条3丁目26,0155-38-5766,http://a-la-mode.jp/,無
アラモード フォレ,080-0111,北海道,河東郡音更町,木野大通東11,0155-43-5770,http://a-la-mode.jp/,無
アラモード シェリア,080-0831,北海道,帯広市,稲田町南8線西14番地,0155-48-8181,http://a-la-mode.jp/,無
アラモード ルキナ,080-0026,北海道,帯広市,西16条南40丁目1−2,0155-67-4005,http://a-la-mode.jp/,無
Mod's Hair 音更,080-0301,北海道,河東群音更町,木野大通西15丁目1−6,0155-67-4266,http://modshair.co.jp/salon/detail.php?salon_id=89,有
Drape,080-2471,北海道,帯広市,西21条南4丁目2-12,0155-67-8889,http://www.drape-obihiro.jp/,無
アルファ新世界,090-0818,北海道,北見市,北見市本町5丁目6番18号,0157-22-3096,https://www.facebook.com/Alphalphalpha/,無
World love,090-0036,北海道,北見市,幸町7−7−19,0157-23-0015,http://www.worldlovehair.com,無
Glamorize,090-0043,北海道,北見市,北3条西2丁目16,0157-23-8620,,無
アールモンドヘア新世界,090-0032,北海道,北見市,三住町14−1 学園通リ,0157-31-2937,http://www.shinsekai-beauty.com,無
Mirac Free,090-0804,北海道,北見市,桜町3丁目63−1 ロイヤルハイツサクラPLAZA1-C,0157-33-1000,http://www.quesera.co.jp,有
DRESS HAIR,090-0070,北海道,北見市,美山町西1丁目50-162,0157-51-1886,https://www.facebook.com/DRESS-hairmake-477991902548943/,有
HAIR&MELLOW,090-0837,北海道,北見市,中央三輪9丁目1−1,0157-57-3230,https://www.facebook.com/handm33/,有
エルム美容室,099-0404,北海道,紋別郡遠軽町,大通北1丁目2-73,0158-42-2865,https://www.engaru-ellm.com,無
REGARO,074-0005,北海道,深川市,5条12番41号,0164-20-1014,http://regaro1014.jp/index.html,有
Hair Stage BIBA,095-0019,北海道,士別市,大通東16−3143−11 西條百貨店士別店内,0165-22-0777,http://to-be.jp/,無
Hair Creation BIBA,096-0015,北海道,名寄市,西5条南6丁目38,01654-2-0007,http://to-be.jp/,無
Room for Beauty,078-8343,北海道,旭川市,東光3条1丁目4−14,0166-34-3188,,無
OBJET 末広店,071-8121,北海道,旭川市,末広東1条1−1−1,0166-54-1312,http://hair-objet.jp/,無
SEESAW,078-8372,北海道,旭川市,旭神2条4丁目11−12,0166-66-1686,,有
Create BIBA,071-1523,北海道,上川郡,東神楽町ヒジリ野南1条5丁目1−1 ベストム東神楽店内,0166-83-0070,http://to-be.jp/,無
LODGE,078-8315,北海道,旭川市,神楽岡五条6-4-22 旭祥ハイツ1階右,0166-99-0760,,有
Chouette,073-0033,北海道,滝川市,新町1−11−11,080-3531-0755,https://ar31503445ar.wixsite.com/chouette,無
Gran addict(グラン アディクト),640-8329,和歌山県,和歌山市,田中町5−1−1,0120-59-7733,http://www.web-addict.net/,有
HAIR ANGELIC(ヘアーアンジェリック),640-8482,和歌山県,和歌山市,六十谷84−1,0120-920-709,,有
HAIR MAKE addict(ヘアーメイクアディクト),641-0007,和歌山県,和歌山市,小雑賀613-4,073-422-5778,http://www.web-addict.net/,有
Habitat Hair+Make,640-8287,和歌山県,和歌山市,築港2-5-8,073-431-7252,https://beauty.hotpepper.jp/slnH000273130/,有
Zeal StageⅡ,640-8442,和歌山県,和歌山市,平井145,073-452-3922,http://www.zeal-e.net/cp/index01.html,無
ZEAL STAGE-Ⅲ(ジール ステージスリー),640-0112,和歌山県,和歌山市,西庄354−1,073-455-7100,http://www.zeal-e.net/cp/index02.html,無
Still HAIR'S(スティルヘアーズ),640-8482,和歌山県,和歌山市,和歌山市六十谷35-10 向葵ビル1F,073-462-3137,http://www.still-hair.jp/#firstPage,無
Luxus Still (ルクススティル),640-8323,和歌山県,和歌山市,和歌山市太田1−14−11 オオトヨビル1F,073-471-4777,http://www.still-hair.jp/#firstPage,無
GRANDEUR/ANGELIC(グランデュール アンジェリック),640-8323,和歌山県,和歌山市,太田2−1−2,073-472-7636,,有
BOND Alive(ボンドアライブ),649-6272,和歌山県,和歌山市,大垣内683-3,073-477-6080,https://jininternational.jp/salon/bond-alive/,有
Hair Collection MOVE(ヘアコレクションムーヴ),649-7161,和歌山県,伊都郡,カツラギ町笠田東394-8,0736-22-8408,https://jininternational.jp/salon/hair-collection-move/,無
spes SHIMA(スペース シマ),649-6202,和歌山県,岩出市,根来5-1,0736-60-2715,http://shima-salon.com/shop/negoro/,無
Hair's club Shima(ヘアーズクラブ シマ),649-6235,和歌山県,岩出市,西野211-1ランデックス恵105,0736-61-1177,http://shima-salon.com/shop/nishino/,無
Naturally Alive(ナチュラリーアライブ),649-6216,和歌山県,岩出市,野上野98-3,0736-61-2615,https://jininternational.jp/salon/naturally-alive/,無
plaisir SHIMA(プレジール シマ),649-6248,和歌山県,岩出市,中黒579-7 B号,0736-61-4112,http://shima-salon.com/shop/nakakuro/,無
magia(マージア),649-6231,和歌山県,岩出市,川尻167-10,0736-62-3690,https://jininternational.jp/salon/magia/,有
le coeul(ルクール),649-6202,和歌山県,岩出市,根来937−1,0736-67-7976,,無
Hair Produce Alive(ヘアプロデュースアライブ),649-6531,和歌山県,紀の川市,粉河941-1,0736-73-4766,https://jininternational.jp/salon/hair-produce-alive/,無
PLUS ONE(プラス ワン),643-0021,和歌山県,有田郡,有田川町下津野1028-2,0737-52-8551,http://www.tairan.info/plusone/index.html,無
PLUS ROAD(プラス ロード),649-0316,和歌山県,有田市,宮崎町101-3,0737-82-1625,http://www.tairan.info/plusroad/index.html,無
KATZ HAIR,920-0985,石川県,金沢市,池田町3-27 2F,076-231-3536,http://www.katz.jp/,有
Ships,930-0811,富山県,富山市,千代田町1-6,076-433-5956,http://www.ships-hm.com/salon/,有
Ships LAGOON,939-8204,富山県,富山市,根塚町1-1-7 P.S one ビル1F,076-493-7555,http://www.ships-hm.com/salon/,有
Ships EEL,930-0951,富山県,富山市,経堂4-131-2,076-407-5337,http://www.ships-hm.com/salon/,有
Cloe中目黒,153-0042,東京都,目黒区,青葉台2-16-12,03-3461-0714,https://beauty.hotpepper.jp/bsln00192/,無
Cloe武蔵小杉,211-0016,神奈川県,川崎市,中原区市ノ坪128-1,044-863-9655,https://beauty.hotpepper.jp/bsln00192/,無
Cloe目黒,108-0071,東京都,港区,港区白金台3-18-12-2F,03-6277-1965,https://beauty.hotpepper.jp/bsln00192/,無
Cloe梅田,530-0001,大阪府,北区,梅田1-1-3大阪駅前第3ビル1-21,06-6347-1008,https://beauty.hotpepper.jp/bsln00192/,無
Cloe三軒茶屋,154-0004,東京都,世田谷区,太子堂1-15-6 1F,03-6450-8797,https://beauty.hotpepper.jp/bsln00192/,無
Cloe中野,164-0001,東京都,中野区,中野3-28-22- 1F,03-6454-1188,https://beauty.hotpepper.jp/bsln00192/,無
Cloe門前仲町,135-0048,東京都,江東区,門前仲町1-10-1,03-6458-8782,https://beauty.hotpepper.jp/bsln00192/,無
Cloe恵比寿,150-0011,東京都,渋谷区,東3-17-11- 101,03-6721-9028,https://beauty.hotpepper.jp/bsln00192/,無
FOSTA,532-0012,大阪府,大阪市,市芝田2-2-4 合同屋ビル 2F,06-6225-7422,http://fof-hair.com/friista/?id=section03,無
HAIR MAKE F.O.F,542-0081,大阪府,大阪市,中央区南船場4-10-13HUQUEビル2階 WEST,06-6245-4020,http://fof-hair.com/friista/?id=section03,無
Frista,530-0012,大阪府,大阪市,北区芝田2-3-23 メイプルビル5F,06-6485-7117,http://fof-hair.com/friista/?id=section03,無
Friio,550-0014,大阪府,大阪市,西区北堀江1-7-9QUADRA KITAHORIE 4F,06-6538-2244,http://fof-hair.com/friista/?id=section03,無
ORIGAMI Hair&Beauty,770-0012,徳島県,徳島市,北佐古二番町3-35,088-679-1925,https://beauty.hotpepper.jp/slnH000288211/?vos=evhpbsg0004xHF000011&gclid=EAIaIQobChMItoj5otqN2QIVTrXtCh2GLQWWEAAYASAAEgIwufD_BwE,無
MEDICAL HAIR MED,561-0865,大阪府,豊中市,旭丘1-12-104,06-6848-3685,https://beauty.hotpepper.jp/slnH000288211/?vos=evhpbsg0004xHF000011&gclid=EAIaIQobChMItoj5otqN2QIVTrXtCh2GLQWWEAAYASAAEgIwufD_BwE,無
HAIR MAKE KANN+f,180-0004,東京都,武蔵野市,吉祥寺本町2-4-1 長田ビル2F,0422-21-6054,http://www.kann-hair.com/,有
HAREKE loopidea,190-0023,東京都,立川市,柴崎町3-6-30中晋ビル1F,042-525-8080,http://www.hareke.com/,有
HAREKE meridish,190-0012,東京都,立川市,曙町2-5-17イノタケビル6F,042-529-8080,http://www.hareke.com/,無
HAREKE 33 STREET,190-0014,東京都,立川市,緑町4-5 コトブキヤビル 2F(203),042-595-8023,http://www.hareke.com/,無
Trife by HAREKE,186-0004,東京都,国立市,中1-14-4 コンフォートイズミ 1F,042-505-8850,http://www.hareke.com/,無
Burney fields,186-0004,東京都,国立市,中1-7-91,042-808-7674,,無
ANY(旧The Waltz),260-0028,千葉県,千葉市,中央区新町19-10新町フクロウビル4F,043- 239-5514,http://any-salon.jp/,無
Lani5710,150-0001,東京都,渋谷区,神宮前6-28-3 Gビル神宮前06 2F,03-5459-5066,http://lanihair.com/,無
〜ing,166-0002,東京都,杉並区,高円寺北 3-33-14 小笠原ビル1F,03-5356-8770,http://www.kouenji-ing.com/,無
〜ing deux,166-0003,東京都,杉並区,高円寺南 4-23-7 大黒屋ビル201,03-5913-7779,http://www.kouenji-ing.com/,無
Seiji･mode･bureau井荻店,167-0022,東京都,杉並区,下井草 5-18-17-2F,03-3399-9067,http://smb-iogi.com,有
Seiji･mode･bureau池袋店,171-0021,東京都,豊島区,西池袋 2-31-22-2F,03-3981-1039,http://smb-ikebukuro.com,有
MOGA INTERNATIONAL,157-0066,東京都,世田谷区,成城 6-16-6 成城ピアッツア1F,03-3484-1761,http://mogainternational.jp,有
VAL HAIR,340-0011,埼玉県,草加市,栄町2-8-20 和田商事ビル2F,048-936-2974,http://valhairjapan.co.jp,無
BONICA 千歳烏山,157-0062,東京都,世田谷区,南烏山5-4-10-1F,03-5969-8922,http://bonica.tokyo,無
PIT府中店,183-0056,東京都,府中市,寿町1-1-11-1F,042-335-7727,http://pit-hair.jp/,無
ミカエリ美人男衾店,369-1216,埼玉県,大里郡寄居町,富田1713,048-582-0999,http://www.mikaeribijin.com,無
ミカエリ美人バランス,369-1245,埼玉県,深谷市,荒川705-1,048-579-1880,http://www.mikaeribijin.com,無
ミカエリ美人イマージュ,355-0328,埼玉県,比企郡小川町,大塚1148-1,0493-72-7666,http://www.mikaeribijin.com,無
ミカエリ美人ルービック,355-0215,埼玉県,比企郡嵐山町,平沢211-1,0493-62-2418,http://www.mikaeribijin.com,無
ミカエリ美人フラッシュ,355-0028,埼玉県,東松山市,箭弓長1-4-15,0493-22-0788,http://www.mikaeribijin.com,無
